"Ix","Iz"
1e-08,-3.1e-09
1.07189131921e-08,-3e-09
1.14895100019e-08,-3.1e-09
1.23155060329e-08,-3.1e-09
1.32008840083e-08,-2.8e-09
1.41499129743e-08,-2.9e-09
1.51671688847e-08,-3.3e-09
1.62575566644e-08,-3.1e-09
1.74263338601e-08,-3.2e-09
1.86791359902e-08,-2.9e-09
2.00220037182e-08,-2.7e-09
2.14614119786e-08,-3.1e-09
2.30043011977e-08,-3.1e-09
2.46581107582e-08,-3e-09
2.64308148697e-08,-3.1e-09
2.83309610184e-08,-3.3e-09
3.03677111804e-08,-3.3e-09
3.25508859984e-08,-3e-09
3.48910121341e-08,-2.9e-09
3.73993730248e-08,-3.1e-09
4.0088063289e-08,-3.3e-09
4.29700470432e-08,-2.9e-09
4.60592204115e-08,-3.1e-09
4.93704785284e-08,-2.8e-09
5.29197873596e-08,-3e-09
5.67242606849e-08,-3.1e-09
6.08022426165e-08,-3.4e-09
6.51733960488e-08,-3.1e-09
6.98587974679e-08,-3.1e-09
7.48810385759e-08,-3.1e-09
8.02643352226e-08,-3.3e-09
8.60346441668e-08,-3.2e-09
9.22197882333e-08,-3.1e-09
9.88495904663e-08,-3.4e-09
1.05956017928e-07,-3.1e-09
1.13573335834e-07,-3.3e-09
1.21738272774e-07,-3.3e-09
1.30490197801e-07,-3.3e-09
1.39871310265e-07,-3.4e-09
1.49926843279e-07,-3.5e-09
1.60705281826e-07,-3.5e-09
1.7225859654e-07,-3.5e-09
1.8464249429e-07,-3.6e-09
1.97916686785e-07,-4e-09
2.12145178491e-07,-4.3e-09
2.27396575236e-07,-4.4e-09
2.43744415012e-07,-4.7e-09
2.61267522556e-07,-5e-09
2.80050389418e-07,-5.5e-09
3.00183581358e-07,-6e-09
3.21764175025e-07,-7e-09
3.44896226041e-07,-7.7e-09
3.6969127072e-07,-8.3e-09
3.9626886387e-07,-9.5e-09
4.24757155254e-07,-1.07e-08
4.55293507487e-07,-1.19e-08
4.88025158365e-07,-1.37e-08
5.23109930806e-07,-1.56e-08
5.60716993821e-07,-1.74e-08
6.01027678207e-07,-1.97e-08
6.44236350872e-07,-2.32e-08
6.90551352016e-07,-2.64e-08
7.40195999692e-07,-2.99e-08
7.9340966658e-07,-3.42e-08
8.5044893418e-07,-3.94e-08
9.11588829975e-07,-4.52e-08
9.77124153535e-07,-5.2e-08
1.04737089796e-06,-5.97e-08
1.12266777351e-06,-6.82e-08
1.20337784078e-06,-7.81e-08
1.28989026125e-06,-9.01e-08
1.38262217376e-06,-1.032e-07
1.4820207058e-06,-1.181e-07
1.58856512943e-06,-1.352e-07
1.70276917223e-06,-1.552e-07
1.82518349432e-06,-1.777e-07
1.95639834352e-06,-2.07e-07
2.09704640132e-06,-2.33e-07
2.24780583355e-06,-2.69e-07
2.40940356024e-06,-3.09e-07
2.58261876068e-06,-3.56e-07
2.76828663039e-06,-4.09e-07
2.96730240819e-06,-4.7e-07
3.18062569279e-06,-5.41e-07
3.40928506975e-06,-6.23e-07
3.65438307096e-06,-7.14e-07
3.91710149081e-06,-8.2e-07
4.19870708444e-06,-9.42e-07
4.5005576757e-06,-1.082e-06
4.82410870417e-06,-1.243e-06
5.1709202429e-06,-1.427e-06
5.54266452066e-06,-1.644e-06
5.94113398497e-06,-1.885e-06
6.36824994472e-06,-2.2e-06
6.82607183427e-06,-2.53e-06
7.31680714343e-06,-2.91e-06
7.84282206134e-06,-3.35e-06
8.40665288562e-06,-3.85e-06
9.01101825167e-06,-4.42e-06
9.65883224116e-06,-5.09e-06
1.0353218433e-05,-5.84e-06
1.10975249641e-05,-6.71e-06
1.18953406737e-05,-7.7e-06
1.27505124071e-05,-8.84e-06
1.36671635646e-05,-1.013e-05
1.46497139831e-05,-1.162e-05
1.57029012473e-05,-1.334e-05
1.68318035333e-05,-1.527e-05
1.80418640939e-05,-1.748e-05
1.93389175046e-05,-1.998e-05
2.0729217796e-05,-2.3e-05
2.22194686094e-05,-2.62e-05
2.38168555198e-05,-3.01e-05
2.55290806824e-05,-3.46e-05
2.73643999707e-05,-3.97e-05
2.93316627839e-05,-4.58e-05
3.14403547159e-05,-5.26e-05
3.37006432927e-05,-6.03e-05
3.61234269971e-05,-6.9e-05
3.87203878181e-05,-7.91e-05
4.15040475785e-05,-9.09e-05
4.44878283113e-05,-0.0001043
4.76861169771e-05,-0.0001196
5.11143348344e-05,-0.000137
5.47890117959e-05,-0.0001575
5.87278661319e-05,-0.0001805
6.29498899022e-05,-0.00021
6.74754405311e-05,-0.000241
7.23263389648e-05,-0.000276
7.75259748863e-05,-0.000316
8.30994194935e-05,-0.000363
8.90735463861e-05,-0.000414
9.54771611421e-05,-0.000476
0.000102341140211,-0.000544
0.000109698579789,-0.000623
0.000117584955405,-0.000711
0.000126038292968,-0.000811
0.00013509935212,-0.000924
0.000144811822767,-0.00105
0.000155222535743,-0.001195
0.000166381688608,-0.001357
0.000178343087693,-0.001538
0.000191164407539,-0.001739
0.000204907468982,-0.001944
0.000219638537242,-0.00223
0.000235428641432,-0.00251
0.000252353917043,-0.00283
0.000270495973046,-0.00319
0.000289942285388,-0.0036
0.000310786618778,-0.00404
0.000333129478793,-0.00452
0.00035707859649,-0.00504
0.000382749447852,-0.00561
0.000410265810583,-0.00625
0.00043976036093,-0.00693
0.000471375313412,-0.00767
0.000505263106534,-0.00847
0.000541587137808,-0.00935
0.000580522551609,-0.01028
0.000622257083673,-0.01127
0.000666991966303,-0.01233
0.00071494289866,-0.01346
0.000766341086801,-0.01465
0.000821434358492,-0.01592
0.000880488358164,-0.01724
0.000943787827778,-0.01866
0.00101163797977,-0.02012
0.00108436596869,-0.02042
0.00116232246868,-0.02042
0.0012458833643,-0.02042
0.00133545156293,-0.02042
0.00143145893752,-0.02042
0.00153436840893,-0.02042
0.00164467617799,-0.02042
0.0017629141181,-0.02042
0.00188965233969,-0.02042
0.00202550193923,-0.02042
0.00217111794569,-0.02042
0.00232720247896,-0.02042
0.00249450813523,-0.02042
0.00267384161584,-0.02042
0.00286606761695,-0.02042
0.00307211299886,-0.02042
0.0032929712551,-0.02042
0.00352970730273,-0.02042
0.00378346261713,-0.02042
0.00405546073584,-0.02042
0.00434701315813,-0.02042
0.00465952566866,-0.02042
0.00499450511586,-0.02042
0.00535356667741,-0.02042
0.0057384416483,-0.02042
0.00615098578858,-0.02042
0.00659318827133,-0.02042
0.00706718127393,-0.02042
0.00757525025877,-0.02042
0.00811984499318,-0.02042
0.00870359136149,-0.02042
0.00932930402628,-0.02042
0.01,-0.02042
